gene_name	transcript_name	1	7	12	14	1_pct	7_pct	12_pct	14_pct	p.value	statistic	major_group	p.value.adjusted
FKBP3	ISOT-2505-5b53-2685-7e1b:s45115900:e45134500:EC:FL	477.074034720354	155.318854772474	199.183256832043	144.405114868966	0.120291328086409	0.107289176540194	0.151595842743316	0.138494726041424	0.00281232519922488	14.0692999866165	astrocytes	0.01137418628824
FKBP3	ISOT-c322-e5ab-baf1-01a3:s45115550:e45134500:AP:FL	3282.09163370879	1231.74083822982	1072.08865118949	847.82423524044	0.827559524910107	0.850846218498038	0.815953033189235	0.813123449937705	0.00281232519922488	14.0692999866165	astrocytes	0.01137418628824
NAPA	ISOT-5238-6616-9ba5-ce0d:s47487600:e47515850:AP:FL	104.848097732312	54.8349234667298	71.6663459333836	26.9677863706776	0.058956676487618	0.0682401515947969	0.101388616941067	0.0627333356121727	0.00282603397500703	14.0589243397029	astrocytes	0.0114231268042389
NAPA	ISOT-9193-c307-8064-49a2:s47487600:e47515100:AP:FL	1379.95621825924	633.228232180196	530.912889321611	349.104024669845	0.775957161709323	0.788030470842178	0.751099039073927	0.812097056916257	0.00282603397500703	14.0589243397029	astrocytes	0.0114231268042389
STYXL1	ISOT-68ce-7d21-4ac5-835a:s75996400:e76048000:AP:FL	66.7505870518353	26.046785187626	34.969777710208	22.3474121039954	0.0732300952986962	0.0618669316758615	0.0785737097893807	0.101465436093837	0.00283282754524585	19.9447282173716	astrocytes	0.0114408225590827
STYXL1	ISOT-8a99-43d7-ea0b-7043:s75996300:e76048000:EC:FL	123.851016280641	63.7692810875872	28.1021038612827	21.1857002029562	0.135873287796386	0.151466283752315	0.0631427105875741	0.0961908385652368	0.00283282754524585	19.9447282173716	astrocytes	0.0114408225590827
STYXL1	ISOT-e0f1-a4a8-f472-57a9:s75996300:e76048000:DN:FL	102.08482598061	36.1592741284107	38.3063055975873	34.1011861202586	0.111994244025234	0.0858863512651032	0.0860705653913708	0.154831875158847	0.00283282754524585	19.9447282173716	astrocytes	0.0114408225590827
PLAUR	ISOT-5977-d72e-d43c-ed40:s43648550:e43670200:AP:FL	1379.66115940283	763.402408157456	1533.15645610281	412.618984406924	0.702688008336222	0.764845459849158	0.758325584273423	0.743125046713458	0.00289304799593952	14.0089113245389	astrocytes	0.011677393729065
PLAUR	ISOT-7999-cecf-cc9a-3aa4:s43646050:e43670200:AP:FL	367.647239956848	150.859577803537	309.344450103978	85.5790733243587	0.187249822215337	0.151144746106169	0.15300709195925	0.154127549301368	0.00289304799593952	14.0089113245389	astrocytes	0.011677393729065
GGNBP2	ISOT-b69f-10d8-aa38-5bcd:s36545600:e36589850:DN:FL	100.429889156403	69.5108557741754	38.9848094245278	44.6680574460016	0.0737288475425017	0.107545153589864	0.0674653010105889	0.112838909212573	0.00290401460966063	14.0008363280839	astrocytes	0.0117150027183584
GGNBP2	ISOT-fc9f-f571-d48c-5cf5:s36544900:e36589850:AP:FL	210.038358591457	120.715708374274	154.336925999122	89.102626889121	0.154195989348849	0.186767796961057	0.267088317816136	0.225087989069095	0.00290401460966063	14.0008363280839	astrocytes	0.0117150027183584
PIAS3	ISOT-b8d7-52ec-3d9f-26ce:s145848500:e145851400:AP:FL	36.8294619265066	17.2195836975678	20.3621540965596	4.56371267545702	0.168942485901406	0.195677087472361	0.216618660601698	0.0877637052972504	0.00291753795167741	25.0489214365899	astrocytes	0.0117495405945104
PIAS3	ISOT-f0e8-c2f8-3496-ccff:s145848500:e145859050:NC:FL	30.474419049899	15.8589015096636	21.6970361418196	8.41681858678409	0.139790913072931	0.180214789882541	0.230819533423613	0.161861895899694	0.00291753795167741	25.0489214365899	astrocytes	0.0117495405945104
PIAS3	ISOT-f350-5381-ff8d-4a3e:s145848500:e145859900:AP:FL	72.2926550705688	23.4497684143348	8.41749987003126	11.0910610723716	0.331617683809949	0.266474641071987	0.0895478709577794	0.213289636007147	0.00291753795167741	25.0489214365899	astrocytes	0.0117495405945104
PIAS3	ISOT-fbef-1709-f01b-88bf:s145848500:e145859100:AP:FL	42.6922173301892	19.9838521594088	17.6891541373552	15.8541259234134	0.195835859312795	0.227089229084191	0.188182490822928	0.304887036988719	0.00291753795167741	25.0489214365899	astrocytes	0.0117495405945104
TM2D1	ISOT-0f70-7af4-eb5f-0e3b:s61681000:e61725150:DN:FL	157.881186661538	104.097194528453	99.9819388139621	31.141762888006	0.108036686220746	0.142287068429649	0.137570469665179	0.0861081185127783	0.00291637448407925	13.991771579149	astrocytes	0.0117495405945104
TM2D1	ISOT-9bc5-4bc3-0858-f834:s61681000:e61725450:AP:FL	981.479672842161	482.199472848119	440.625447328773	264.813079073953	0.671617775930491	0.659102771219518	0.606279998712969	0.732217892694057	0.00291637448407925	13.991771579149	astrocytes	0.0117495405945104
