gene_name	transcript_name	2	4	5	11	15	2_pct	4_pct	5_pct	11_pct	15_pct	p.value	statistic	major_group	p.value.adjusted
ATP2B1	ISOT-bfdc-2bb2-c9d5-4379:s89630500:e89709050:AP:FL	684.049496620108	181.858021818392	398.814927341989	124.594340802853	4.22402597099954	0.126071772318269	0.104147209084473	0.153495217698949	0.176867206506974	0.0457372352311967	2.20444424432919e-11	84.8429945218439	neurons	5.40235802810275e-11
ATP2B1	ISOT-c904-20b1-9bb7-5b7a:s89589800:e89709350:EC:FL	1191.21425776566	254.807203274002	542.22168914918	112.389976106443	17.6754377185501	0.21954331291718	0.145924050037828	0.20868937071073	0.159542568187631	0.191387472117364	2.20444424432919e-11	84.8429945218439	neurons	5.40235802810275e-11
ATP2B1	ISOT-eec4-fdd4-1f36-57b9:s89630500:e89709450:AP:FL	542.631203264917	130.070019351867	201.451814483499	50.0970954727155	1.16800350552842	0.100008081065507	0.0744890402172535	0.0775344351478524	0.0711150544501251	0.0126469987282239	2.20444424432919e-11	84.8429945218439	neurons	5.40235802810275e-11
NRDC	ISOT-1177-58ab-3848-ce57:s51839100:e51878850:AP:FL	63.0225452538164	100.984610948487	37.1329599578473	25.9950781177112	9.0017891797916	0.0487137557450127	0.122520665317395	0.0510262317909608	0.0687481036949258	0.169304510879999	3.51371046019962e-11	65.6966806930441	neurons	8.54259236223135e-11
NRDC	ISOT-ac95-02b7-b8f6-ca2b:s51789200:e51878750:AP:FL	161.762836993937	67.3645754157346	87.1149331455725	61.3823591219006	0.979902878162638	0.125035815329369	0.0817307956255811	0.119708926414325	0.162335376367899	0.0184298892346498	3.51371046019962e-11	65.6966806930441	neurons	8.54259236223135e-11
NRDC	ISOT-df8b-9785-5a20-d86c:s51839950:e51878800:AP:FL	637.402069344504	480.118251107352	342.41034489457	171.055765990406	35.6202803640337	0.492684778000672	0.58250863180236	0.470522943661021	0.452384081504689	0.66994172202784	3.51371046019962e-11	65.6966806930441	neurons	8.54259236223135e-11
SCN9A	ISOT-899d-6d25-5caf-5010:s166277700:e166376000:AP:FL	132.962214484649	83.4279095639548	149.042073413394	62.6406392006931	2.45350834550004	0.13634497868166	0.0869152163887379	0.143682242433498	0.161547572604986	0.0468658010577076	4.12757877412338e-11	74.7325864810577	neurons	9.92996045397745e-11
SCN9A	ISOT-d110-268d-90d2-a376:s166286450:e166375950:NC:FL	283.344477932402	308.581235433532	234.517792570292	102.387640832494	13.808679215023	0.290553199290463	0.32148000580848	0.226084095284904	0.264053417275115	0.263767112978405	4.12757877412338e-11	74.7325864810577	neurons	9.92996045397745e-11
SCN9A	ISOT-da99-dcce-100a-c4a2:s166197450:e166375950:AP:FL	153.026905790801	173.33828081331	176.108318466798	63.7382806160586	20.1433199596323	0.156920146739705	0.180583862931282	0.169775134825977	0.164378343626892	0.384768540771961	4.12757877412338e-11	74.7325864810577	neurons	9.92996045397745e-11
SCN9A	ISOT-fab8-351c-16aa-83e2:s166286450:e166375950:EC:FL	93.5913940457965	54.4254909433651	114.181598732386	37.9695258508276	0.161366860847958	0.0959725037328878	0.0567004896458493	0.110075415450015	0.0979218094264847	0.00308235641899391	4.12757877412338e-11	74.7325864810577	neurons	9.92996045397745e-11
RPS23	ISOT-110b-5c6e-d1a2-9c36:s82273300:e82278400:AP:FL	4623.42761469791	412.952136679631	3417.08718347172	1434.59189196079	92.8960751212015	0.297441303055707	0.380952155608516	0.302156440310524	0.289465676343985	0.398695601378547	4.22298141992677e-11	54.4564334344391	neurons	1.01065623044601e-10
RPS23	ISOT-419f-94d4-0a80-f18f:s82273300:e82278400:AP:FL	10250.4454135526	609.216264166647	7368.38880895363	3310.65005572654	126.09101213359	0.659447080130766	0.562007623769969	0.651550871779435	0.668008485820528	0.541163142204248	4.22298141992677e-11	54.4564334344391	neurons	1.01065623044601e-10
KIF2A	ISOT-6ee7-80bf-c970-9fd4:s62306200:e62391050:AP:FL	845.09211644065	205.635711744967	638.399164861733	284.122264817367	24.1541499247325	0.276599880558252	0.253453813390895	0.358355163749658	0.270512116154421	0.46103556392211	4.27810185847326e-11	54.4295445666916	neurons	1.0185429036106e-10
KIF2A	ISOT-9fd2-766e-5709-c212:s62306200:e62364050:AP:FL	1720.16587651238	483.434376006225	926.78828366901	655.190927315938	17.5390903203706	0.563012796744177	0.595851202513829	0.520237784501808	0.623805685722447	0.334772468570841	4.27810185847326e-11	54.4295445666916	neurons	1.0185429036106e-10
CELF1	ISOT-844f-df3d-8612-bfba:s47466100:e47553150:NC:FL	216.341259041515	70.1355336445973	102.066794404127	50.4277473726248	18.910591645461	0.19555240534092	0.255634173395799	0.161366701796754	0.149752992467323	0.420779671993608	8.03364021606037e-11	53.1224150609096	neurons	1.90281323674213e-10
CELF1	ISOT-9ffd-ad8d-3863-ac78:s47465900:e47553150:AP:FL	783.040407794393	125.428237928153	467.792413243478	252.598903516249	16.6191265891659	0.707795803268132	0.457168317642436	0.739575679743222	0.750131498359529	0.369792271236948	8.03364021606037e-11	53.1224150609096	neurons	1.90281323674213e-10
PHIP	ISOT-2568-8e41-103a-6a28:s78940550:e78960400:AP:FL	123.629941757153	59.7478174707357	67.2119937907187	52.7793679261174	4.49131341160528	0.119333920615013	0.0994140057749346	0.110380353726016	0.129998443167777	0.0641616201657897	9.49675304265792e-11	81.3493253937262	neurons	2.22074199648922e-10
PHIP	ISOT-7f2f-0415-8a25-ddb7:s78982950:e79078300:DN:FL	140.195529406687	27.1581169630072	76.6029665899607	61.3812105012766	6.59290231646466	0.135323870083675	0.0451882145807109	0.125802882369331	0.15118524754009	0.094184318806638	9.49675304265792e-11	81.3493253937262	neurons	2.22074199648922e-10
PHIP	ISOT-c89b-1bfc-aede-8509:s78934400:e79078300:AP:FL	403.351474840153	207.959099960844	260.503902025261	147.239204107742	33.8388204077565	0.389335400424858	0.34602179693984	0.427818179923214	0.362658138196408	0.483411720110807	9.49675304265792e-11	81.3493253937262	neurons	2.22074199648922e-10
PHIP	ISOT-d782-8d96-472d-3d70:s79058950:e79078300:AP:FL	111.001561482856	114.74890254377	61.7539959047687	41	4.76814950678762	0.107144364365691	0.190929954315758	0.101416838387326	0.100985221674877	0.0681164215255374	9.49675304265792e-11	81.3493253937262	neurons	2.22074199648922e-10
PHIP	ISOT-f4c7-2288-3d75-be40:s78940500:e78982950:AP:FL	136.662843303299	55.6542786299071	66.639258142465	52.877309940553	8.20763096260402	0.13191394141245	0.0926027930614095	0.109439766192746	0.130239679656535	0.117251870894343	9.49675304265792e-11	81.3493253937262	neurons	2.22074199648922e-10
ATP6V1C1	ISOT-2c8a-d483-f4d2-85ab:s103021050:e103073100:AP:FL	494.448171794036	131.643952745865	273.507564665208	159.565426341572	15.248627469301	0.651690079754677	0.44595862827412	0.645663189243771	0.670543616033945	0.634809216822424	9.55070319243199e-11	52.7633919987613	neurons	2.22204967945443e-10
ATP6V1C1	ISOT-a627-972f-be6f-5f5e:s103020950:e103063200:AP:FL	187.236974293962	134.71499449982	108.762656633362	61.8210042803417	7.57884907879939	0.246781130301124	0.456362126037594	0.256753570375579	0.259791113322086	0.31551188838562	9.55070319243199e-11	52.7633919987613	neurons	2.22204967945443e-10
TULP4	ISOT-1555-04c9-a7ad-25d7:s158312450:e158511850:AP:FL	971.86740444437	182.627433313483	523.127657627042	229.670951582176	27.3101033551853	0.328800750010022	0.204052998115623	0.321726726707898	0.313758130576744	0.310342083581651	1.02847222754209e-10	63.3361528282068	neurons	2.37478888721402e-10
TULP4	ISOT-5b9d-4312-5449-ecfe:s158232100:e158313100:AP:FL	770.871553463965	304.210755219476	476.298407913952	195.962368320145	22	0.260800129504549	0.339900285161425	0.292926450131582	0.267708153442821	0.25	1.02847222754209e-10	63.3361528282068	neurons	2.37478888721402e-10
TULP4	ISOT-73b0-c9af-ecd1-942a:s158232200:e158312700:AP:FL	659.270499660667	227.03020317917	323.440905847665	156.98697205182	24.9897959183673	0.223043425220994	0.253665031485106	0.198918146277777	0.214463076573525	0.283974953617811	1.02847222754209e-10	63.3361528282068	neurons	2.37478888721402e-10
DYNC2I1	ISOT-23c6-4e54-2f2e-92ec:s158856450:e158871450:AP:FL	218.268836633798	176.927285539856	110.77258109652	48.2802693197745	19.2888403614882	0.352769210275796	0.569048695396853	0.348693046134669	0.31297790316768	0.595259952462937	1.09502357328273e-10	52.4795048632365	neurons	2.51581665961706e-10
DYNC2I1	ISOT-2fab-acbf-767b-ee50:s158856550:e158946200:AP:FL	378.05403954031	131.270676912081	199.36931475699	102.18880131872	12.7111596764147	0.611016336674599	0.422203998737403	0.627580336038414	0.66244114240788	0.392270564892975	1.09502357328273e-10	52.4795048632365	neurons	2.51581665961706e-10
DAAM1	ISOT-04f0-7e43-0164-7e11:s59188650:e59371450:AP:FL	2235.24624055656	481.620399007304	1061.39308561805	787.764418333703	49.1807918283566	0.557218570582046	0.432054762768069	0.566198457795375	0.569163575723963	0.620509327526384	1.12168279370012e-10	63.1451054011827	neurons	2.55788210275536e-10
DAAM1	ISOT-49ec-bd81-f50e-8f44:s59188700:e59367550:DN:FL	491.146362077803	120.446393000286	224.411327737714	191.999011470382	0.0741085524041957	0.122436565984525	0.108050734273859	0.119711866789596	0.138720207920913	0.000935020488827659	1.12168279370012e-10	63.1451054011827	neurons	2.55788210275536e-10
DAAM1	ISOT-c311-b4c9-828d-07fe:s59188700:e59330600:NC:FL	599.000134266286	219.137172571999	262.296397985505	172.618916253465	10.6038679548448	0.149323145046966	0.196584819298372	0.139921597414776	0.124717996047898	0.133787983666533	1.12168279370012e-10	63.1451054011827	neurons	2.55788210275536e-10
PRKAA1	ISOT-7ad2-e634-47d2-a9d9:s40777000:e40798200:AP:FL	272.143823158012	245	126	90	14.0919758901899	0.693309020675416	0.803360668166035	0.570629025726776	0.692473480927492	0.384870193864767	1.18100367797643e-10	52.322557317539	neurons	2.67985772854406e-10
PRKAA1	ISOT-9284-6de9-f462-7ed3:s40759350:e40798400:AP:FL	95.528964130611	45.6170130282752	80.2792015735671	30.0178011675687	20.2650656784167	0.243367980206098	0.149579241086261	0.363568591905143	0.230961458492173	0.553465306576633	1.18100367797643e-10	52.322557317539	neurons	2.67985772854406e-10
EIF5	ISOT-75b5-9bba-30b7-9f5f:s103334200:e103345050:AP:FL	1222.59656884695	126.690633017061	849.246506385574	335.926461569185	16.2296669935461	0.30616627641238	0.233455784104419	0.378089398625857	0.291760274484061	0.36084552761685	1.59096364239248e-10	51.7036911769748	neurons	3.59237245051274e-10
EIF5	ISOT-a513-e981-3dc3-081d:s103334200:e103341400:EC:FL	2468.0157477901	347.238150006724	1270.32883315456	746.466751697282	21.7965108114265	0.618047858862102	0.639863837209422	0.565557657256266	0.648324467656056	0.484617056350155	1.59096364239248e-10	51.7036911769748	neurons	3.59237245051274e-10
SEC62	ISOT-336d-92b2-784b-3b68:s169966800:e169985900:AP:FL	2898.86435431605	369.598254783172	1302.63682678838	803.932783857217	40.0209182304288	0.70446278355189	0.596126217392213	0.700342379993752	0.665507271404981	0.74112811537831	3.66230461178666e-10	60.5335968155134	neurons	8.20892180056572e-10
SEC62	ISOT-48b1-684e-b3a6-fcbf:s169966800:e169998400:AP:FL	430.17038180681	53.3521291754121	214.344238620982	147.852925820535	8.43017479828374	0.104537152322432	0.0860518212506647	0.11523883796827	0.122394806142827	0.156114348116366	3.66230461178666e-10	60.5335968155134	neurons	8.20892180056572e-10
SEC62	ISOT-fe52-a90b-d902-4a4d:s169966800:e169993850:AP:FL	529.900255131139	138.432938218652	225.460462978823	174.612443809227	3.62857464582928	0.128772844503314	0.223278932610729	0.121215302676787	0.144546725007638	0.0671958267746162	3.66230461178666e-10	60.5335968155134	neurons	8.20892180056572e-10
NAP1L1	ISOT-15e3-af7f-73c5-d108:s76036550:e76084700:AP:FL	546.745608348038	112.69374807263	323.45540241021	163.948494003498	18.2864056700726	0.181315142487034	0.250428630135171	0.18469292212836	0.175626301513639	0.320273758631116	5.47770396891802e-10	59.6424773416866	neurons	1.21888860712728e-09
NAP1L1	ISOT-ae3f-0aef-8aaa-6e6b:s76049750:e76084650:NC:FL	319.790000592552	67.7031955554657	155.943957066988	91.8041189921412	8.07937876113934	0.106050727501148	0.150450391514191	0.089043945175585	0.0983431899164857	0.141504735808709	5.47770396891802e-10	59.6424773416866	neurons	1.21888860712728e-09
NAP1L1	ISOT-d7ca-07b2-4e20-3d51:s76047150:e76084700:AP:FL	301.913733146652	11.8197452185378	192.992893321714	120.701536303484	1.05811259244749	0.100122489707189	0.0262658989895114	0.110198874874223	0.129298927305443	0.0185321108561366	5.47770396891802e-10	59.6424773416866	neurons	1.21888860712728e-09
CLIC4	ISOT-3204-6f5a-2a08-62dc:s24745400:e24844350:AP:FL	155.18518189108	22.6544530712905	101.874098695334	20.7175493673721	6.18295293566069	0.539146981349919	0.189044990965514	0.540823826502089	0.341033780663945	0.413208931363561	5.97827530946534e-10	48.9508668105878	neurons	1.32386385768642e-09
CLIC4	ISOT-b849-00cf-4aa4-fa8b:s24745350:e24844300:AP:FL	127.728002763166	91.5748412995161	84.4643932813793	39.036907698448	7.78030769681734	0.443754785633779	0.764166099779922	0.448400103290486	0.642590683954038	0.519960714974786	5.97827530946534e-10	48.9508668105878	neurons	1.32386385768642e-09
RPL31	ISOT-1d66-fb0c-0c0e-20b7:s101002250:e101007300:AP:FL	9302.70975134078	359.831082941933	5893.82677761592	2724.57399120993	115.028419031037	0.890041116661002	0.832942321624844	0.916899000873666	0.913060989011369	0.912923960563785	1.48336018962436e-09	47.0576080514844	neurons	3.26908396706184e-09
RPL31	ISOT-e5bf-bb53-e73b-37eb:s101002250:e101006450:AP:FL	960.496581771313	43.6471532869851	417.877900681229	211.065080722294	8.94274564600078	0.0918959607511782	0.101035077053206	0.0650090075733088	0.0707322656576053	0.070974171793657	1.48336018962436e-09	47.0576080514844	neurons	3.26908396706184e-09
ARL4C	ISOT-0000-0000-0000-6b86:s234493000:e234497100:AP:FL	2305.33392184751	233.81455623917	1601.74843727122	605.535313765908	21.9431381404275	0.701135620999847	0.621847224040346	0.75058502215146	0.757866475301512	0.43886276280855	1.66468838379159e-09	46.8171237086619	neurons	3.6511900350942e-09
ARL4C	ISOT-d4fc-802f-76b0-77e7:s234493000:e234497100:AP:FL	813.861122629377	116.655891277725	436.016577518993	153.894689348552	18.4882913170535	0.247524672332534	0.310255029993951	0.2043189210492	0.192609123089552	0.36976582634107	1.66468838379159e-09	46.8171237086619	neurons	3.6511900350942e-09
KIF5C	ISOT-54db-59fa-3ba7-90ba:s148875200:e149026800:AP:FL	3164.09574083001	1993.08972715656	1831.75589186842	838.60180158449	76.1766767503508	0.714242830887135	0.7392766050284	0.754429938990287	0.702346567491197	0.80185975526685	2.1354804858456e-09	46.2976184710672	neurons	4.66153578739218e-09
KIF5C	ISOT-f183-38e0-8841-d8e3:s148875050:e148962050:AP:FL	912.975633717821	414.824409176085	404.90684259533	254.454137851082	6.11338065265249	0.20608930783698	0.153866620614275	0.166765585912409	0.213110668216987	0.0643513752910789	2.1354804858456e-09	46.2976184710672	neurons	4.66153578739218e-09
HMGB1	ISOT-26fa-6e82-13a0-b75f:s30461450:e30465950:AP:FL	1278.36146499587	118.711013734414	574.965760510662	305.186518025128	12.6539157643878	0.112051809574617	0.138764384681233	0.0992561399637008	0.103243500561985	0.113999241120611	2.65690155484523e-09	56.1335137283261	neurons	5.758708794582e-09
HMGB1	ISOT-37a4-df48-19d8-a02a:s30456700:e30465950:AP:FL	8038.11614401861	464.406590673696	4168.47269005762	2166.55500974638	60.3484143500844	0.704562429462107	0.542856915879097	0.719601995763627	0.732937761516403	0.543679408559319	2.65690155484523e-09	56.1335137283261	neurons	5.758708794582e-09
HMGB1	ISOT-e0fc-7ca1-1723-6ce4:s30461250:e30465950:EC:FL	1236.87989328415	113.279480317914	561.159152663803	302.29809545402	12.2630999086986	0.108415838605864	0.13241532431433	0.0968727100362306	0.102266357602745	0.110478377555843	2.65690155484523e-09	56.1335137283261	neurons	5.758708794582e-09
CAMLG	ISOT-0286-f77d-c51b-ed59:s134738550:e134751400:AP:FL	630.695972433296	26.83811775403	428.277479910184	201.641616562443	7.98497188705604	0.221088441477151	0.158774463578721	0.260362615428125	0.234466996002841	0.307114303348309	2.82056988084315e-09	56.0002173307884	neurons	6.07050051638138e-09
CAMLG	ISOT-2784-8e02-d012-eeed:s134738500:e134752200:AP:FL	1388.2992735818	111.403223681832	713.275959551504	380.259176232391	5.02964628717994	0.48666383822916	0.659062131075387	0.433621666004436	0.442161832828361	0.193447934122305	2.82056988084315e-09	56.0002173307884	neurons	6.07050051638138e-09
CAMLG	ISOT-f496-47d2-542b-b6fd:s134738500:e134752000:AP:FL	707.937410467882	19.9740978631286	443.322652757074	248.368710562986	8.97379861995193	0.248165178762526	0.118166881252725	0.269509023389632	0.28880082623603	0.345146100767382	2.82056988084315e-09	56.0002173307884	neurons	6.07050051638138e-09
SLC25A3	ISOT-2389-8f80-226b-a04c:s98593600:e98602000:AP:FL	1628.64609974968	118.029088740751	802.993637704946	389.628578170077	12.5749890702859	0.199673840052075	0.156487156493869	0.168493461245377	0.176728932059583	0.127702706559367	6.50820161262597e-09	54.1320252468174	neurons	1.39093890279146e-08
SLC25A3	ISOT-629a-c7eb-d971-31b6:s98593550:e98606400:AP:FL	470.636360409052	72.7710391616442	296.927599546867	117.63656974563	10.1883855391739	0.0577005460949752	0.0964824274677127	0.0623048012309611	0.053357958083924	0.103466046892814	6.50820161262597e-09	54.1320252468174	neurons	1.39093890279146e-08
SLC25A3	ISOT-7ec3-120d-f38c-654d:s98581300:e98601750:AP:FL	5957.86227864677	494.129896515796	3624.23746930624	1661.67985624784	60.7754888745962	0.730440603309494	0.655134960960429	0.760479643803826	0.753709873641283	0.61719293578505	6.50820161262597e-09	54.1320252468174	neurons	1.39093890279146e-08
N4BP2L2	ISOT-5778-f1df-4f8c-a132:s32444050:e32538800:NC:FL	608.696658623975	572.850513340746	487.975482554038	147.182397940916	37.8333363332487	0.27150687980044	0.32035300168477	0.271651224377824	0.270014129496916	0.289287182604512	8.55101945323164e-09	53.5204994557267	neurons	1.81486994861891e-08
N4BP2L2	ISOT-85cf-7c11-b0b0-a742:s32444050:e32538800:NC:FL	352.815016338272	320.792310584634	205.387147826778	84.8358159833202	19.2694302602691	0.157371825318202	0.179395456964621	0.114337035718664	0.155635927416351	0.147340936080451	8.55101945323164e-09	53.5204994557267	neurons	1.81486994861891e-08
N4BP2L2	ISOT-a0de-a9d7-ed24-5d85:s32510250:e32538800:AP:FL	83.7228353481214	105.924276418874	32.1926973413022	20.6968737607532	17.2964820564787	0.0373442591993211	0.0592356279898963	0.017921362776297	0.0379695427578286	0.132255070475794	8.55101945323164e-09	53.5204994557267	neurons	1.81486994861891e-08
NPIPB5	ISOT-7a35-423e-f13f-6fda:s22513550:e22536550:DN:FL	67.3185558448912	17.5613623943195	54.7674096641194	38.0668451264025	10.3075259125193	0.731723433096644	0.344340439104303	0.740100130596208	0.827540111443534	0.355431928017907	8.83247972420195e-09	43.3313640139677	neurons	1.86598824518198e-08
NPIPB5	ISOT-f86f-8c66-6061-25b1:s22510850:e22536550:AP:FL	24.6814441551087	33.4386376056805	19.2325903358806	7.93315487359743	18.6924740874807	0.268276566903356	0.655659560895697	0.259899869403792	0.172459888556466	0.644568071982093	8.83247972420195e-09	43.3313640139677	neurons	1.86598824518198e-08
KLC1	ISOT-1b8b-0de0-f42f-82ec:s103675550:e103686250:EC:FL	510.057910570294	64.4931424216737	331.091403176578	131.07327024375	1.87142346240378	0.159901637036396	0.081769162238333	0.189786129281164	0.170417507576422	0.0316663012022732	9.19006000904488e-09	53.3589149054237	neurons	1.92823405212608e-08
KLC1	ISOT-6ecd-2197-2562-d8aa:s103629250:e103686250:EC:FL	543.788538423111	85.2549568740696	329.256842591264	128.926156926471	0.294396947553038	0.170476088486233	0.108092521754919	0.188734534014485	0.167625895683818	0.00498148206513879	9.19006000904488e-09	53.3589149054237	neurons	1.92823405212608e-08
KLC1	ISOT-cf29-6de2-ad20-af78:s103675550:e103686250:DN:FL	749.774806184648	164.789543944356	371.270059234071	193.61950084564	20.3497324411812	0.235052170416342	0.208932336803589	0.212817085505672	0.251738227717546	0.344337222341118	9.19006000904488e-09	53.3589149054237	neurons	1.92823405212608e-08
OXSR1	ISOT-4883-eda5-a48c-070f:s38165500:e38255500:AP:FL	145.982322035296	28.3046886870487	97.718620327718	47.8404920821272	4.07971016983899	0.600753733783161	0.255405656782271	0.577717288749945	0.583115309854271	0.406344503319366	1.53851736679961e-08	42.1694976227218	neurons	3.21340331838374e-08
OXSR1	ISOT-4a07-b6a1-c44b-178b:s38165500:e38250200:AP:FL	93.2292787477872	79.8394865765636	66.7491630553959	32.2024439781235	5.9603177781521	0.383661778527558	0.720426807434805	0.394624334414115	0.392507210547349	0.593655496680634	1.53851736679961e-08	42.1694976227218	neurons	3.21340331838374e-08
